DEBUG 2024-11-29 20:08:14,208 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\utils\timezone.py first seen with mtime 1732886805.0890086
DEBUG 2024-11-29 20:08:14,209 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1732886805.0900016
DEBUG 2024-11-29 20:08:14,209 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1732888345.003024
DEBUG 2024-11-29 20:08:14,210 autoreload File C:\Program Files\Python310\Lib\urllib\request.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,210 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1732886803.5872
DEBUG 2024-11-29 20:08:14,210 autoreload File C:\Program Files\Python310\Lib\genericpath.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,210 autoreload File C:\Program Files\Python310\Lib\json\__init__.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,210 autoreload File C:\Program Files\Python310\Lib\asyncio\trsock.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,210 autoreload File C:\Program Files\Python310\Lib\sre_parse.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,214 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1732886804.8983564
DEBUG 2024-11-29 20:08:14,215 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1732886802.2374551
DEBUG 2024-11-29 20:08:14,216 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1732886804.7941184
DEBUG 2024-11-29 20:08:14,216 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1732886805.0143154
DEBUG 2024-11-29 20:08:14,217 autoreload File C:\Program Files\Python310\Lib\asyncio\proactor_events.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,217 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1732888345.23289
DEBUG 2024-11-29 20:08:14,218 autoreload File C:\Program Files\Python310\Lib\email\__init__.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,219 autoreload File C:\Program Files\Python310\Lib\json\encoder.py first seen with mtime 1633399924.0
